,file,Genotype,channel,params,slope,threshold,y_min,y_max,range,sigma,r_squared,gain,Subject,group
30,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,5,[35.51441971 16.85488425 10.79346497 21.59792562],1.738565740083686,16.854884252450788,21.597925619322638,57.112345332513584,2.644344014288941,10.793464968162215,0.7708801718668818,35.51441971319095,11,11_5_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
31,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,7,[52.74853275 18.46133471  7.41120069 15.92685476],1.1163696166605064,18.461334705671145,15.926854762092463,68.67538751341915,4.311924013828115,7.411200686619474,0.8910150261363823,52.74853275132669,11,11_7_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
32,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,8,[36.15080791 15.36227056  8.15819834 13.68508457],1.8269648029090033,15.362270555707815,13.685084565698642,49.83589247893693,3.641621083135246,8.158198340403834,0.7966131670521532,36.15080791323828,11,11_8_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
33,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,9,[25.28455656 16.35336166  8.02665673 16.93970578],0.9671483855555606,16.35336166066545,16.93970577748281,42.224262335452295,2.4926207627277157,8.026656734007869,0.7264923646560799,25.284556557969484,11,11_9_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
34,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,10,[45.66288675 17.05355152  6.44050318 13.39317207],0.9874307469459608,17.053551520956077,13.393172065610662,59.05605881847065,4.409415374428551,6.440503181486255,0.9477842556722124,45.66288675285999,11,11_10_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
35,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,12,[39.25329876 16.83781312 10.05992241 22.68608641],1.903442907291719,16.837813119726864,22.68608641204619,61.939385168654795,2.730280756391958,10.059922411391508,0.8594887399963984,39.2532987566086,11,11_12_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
36,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,13,[50.73801998 18.80839411  6.5601426  15.0541439 ],0.5903183168953774,18.80839410942061,15.05414389695717,65.79216388010637,4.370369004736607,6.560142601249033,0.953442675233535,50.7380199831492,11,11_13_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
38,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,15,[35.3004978  18.24953979  8.87225303 17.50045587],1.1686451225401129,18.24953978678845,17.5004558707302,52.80095366751932,3.0171187572221925,8.87225302575665,0.8089738553707626,35.300497796789124,11,11_15_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
39,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,16,[28.9795092  19.43159283  8.06936186 16.08802959],0.7162797400539488,19.43159282902151,16.08802958996119,45.06753878506565,2.8013087950302786,8.06936186173251,0.7038987983195979,28.97950919510446,11,11_16_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
40,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,1,[45.94004822  1.98192803  4.58296495  6.62460917],1.1589743124318375,1.9819280310120622,6.624609168038372,52.564657388491966,7.934756006754283,4.5829649513983215,0.9828313740004896,45.94004822045359,11,11_1_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
41,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,2,[49.04197439  2.35347813  8.67995472 12.55397873],0.5036854549445025,2.3534781313722046,12.553978731454462,61.59595312397961,4.906488567616309,8.679954717770718,0.977232720102334,49.04197439252515,11,11_2_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
42,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,3,[31.14580148 -0.11197446  3.66095243  3.11634498],3.198670968451722,-0.11197446113859437,3.1163449789506936,34.26214646233678,10.994336857363336,3.660952434202027,0.9807445035380266,31.145801483386087,11,11_3_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
43,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,4,[57.13463729  4.93898002  5.11143307  4.81832552],5.985224223081786,4.938980019715168,4.818325518110236,61.95296280582187,12.857778614783177,5.111433073676493,0.975978101207468,57.134637287711634,11,11_4_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
44,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,5,[55.3892677   4.13027498  6.22536942  8.35464366],3.424756762626657,4.130274978131658,8.35464365691004,63.74391135995117,7.629758249141989,6.225369420382049,0.9825886745408007,55.38926770304113,11,11_5_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
45,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,7,[32.08372315  5.42477932  4.2920862   4.83876585],4.497390874469431,5.424779319347167,4.838765851752268,36.9224890013076,7.630559141012541,4.292086202356525,0.9635489528695842,32.08372314955533,11,11_7_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
46,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,8,[33.32114866  7.27205579 10.10860142  2.57877727],1.5599806085120347,7.272055792462202,2.5787772722021236,35.89992593472746,13.921297632684286,10.10860142034765,0.9188963381964764,33.32114866252534,11,11_8_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
47,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,9,[31.28466419  8.46819139 10.63438422  3.32653234],1.5284167069751218,8.468191387931537,3.3265323384032963,34.61119652641998,10.404587421817467,10.634384216555196,0.8900560461812801,31.284664188016684,11,11_9_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
48,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,10,[26.07509431  7.24116186 12.08731688  1.91821625],0.8896940226321702,7.241161857480939,1.9182162534556757,27.993310565428875,14.593407033747521,12.087316880077278,0.871033802565492,26.0750943119732,11,11_10_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
49,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,12,[57.90351448  3.64694642  6.26926571  6.70007124],2.967454701519045,3.646946416662392,6.700071242933117,64.60358572537989,9.642223699265937,6.269265706045328,0.9759394745110537,57.90351448244677,11,11_12_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
50,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,13,[47.83514983  4.97078415  4.9767832   3.6923383 ],5.246349186549537,4.9707841496057545,3.692338300955393,51.5274881333889,13.95524568267652,4.97678320254526,0.9879792733747319,47.83514983243351,11,11_13_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
51,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,14,[48.52677449  1.82855608  3.8086407   7.44603713],1.4758388669378062,1.8285560830677299,7.446037128135328,55.97281162202336,7.517127655800494,3.808640695770997,0.9851202099702271,48.52677449388803,11,11_14_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
52,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,15,[48.98682385  2.43454739  7.46528904 12.54749886],0.8043052030615171,2.4345473920578584,12.547498864820605,61.534322718470214,4.904110642400124,7.465289042648277,0.9798680574473312,48.98682385364961,11,11_15_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
53,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,16,[49.33437359  0.38909793  8.37801524 12.25647366],0.7825336165723228,0.38909792689998035,12.256473657948986,61.59084724629313,5.0251686549620365,8.378015244639236,0.9819101689160415,49.33437358834414,11,11_16_F:\Fmr1 SD Tanks\WT\BA190305F\Block-2
54,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,WT,1,[26.07110534  3.46571587  4.62447903 10.04643178],2.2360305582225237,3.4657158672733277,10.04643177901784,36.11753711537797,3.59506120280537,4.624479031449796,0.9653278574968965,26.07110533636013,11,11_1_F:\Fmr1 SD Tanks\WT\BA190305G\Block-2
55,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,WT,2,[26.12537151  3.5742869   4.84931036 12.12486435],2.1453697364393065,3.5742869028530224,12.124864346238732,38.25023585430386,3.154693921682473,4.849310359157563,0.9489286310189733,26.12537150806513,11,11_2_F:\Fmr1 SD Tanks\WT\BA190305G\Block-2
56,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,WT,3,[26.71647834  2.87369719  3.40073145  7.9097285 ],3.0156733444641755,2.8736971895242887,7.909728496433756,34.62620683612523,4.377673247790627,3.4007314528458115,0.9830935061289205,26.71647833969147,11,11_3_F:\Fmr1 SD Tanks\WT\BA190305G\Block-2
57,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,WT,4,[32.60648674  4.76606266  3.25562061  2.84538017],6.072485520824954,4.766062660428005,2.8453801678407094,35.45186690332185,12.459448232615404,3.255620610419105,0.9719136870776142,32.60648673548114,11,11_4_F:\Fmr1 SD Tanks\WT\BA190305G\Block-2
58,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,WT,5,[39.36424099  4.61000008  3.44911184  8.21669786],6.872885320063914,4.610000084449941,8.216697858933466,47.580938848402255,5.790761649665709,3.4491118416056157,0.973690324697944,39.36424098946879,11,11_5_F:\Fmr1 SD Tanks\WT\BA190305G\Block-2
60,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,WT,11,[35.1013174  -5.46584206  8.63923729  7.82283333],2.360637605036686,-5.465842057337058,7.8228333333322935,42.9241507316602,5.487033776977554,8.639237293031224,0.868292113125716,35.10131739832791,11,11_11_F:\Fmr1 SD Tanks\WT\BA190305G\Block-2
61,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,WT,12,[35.66540355  4.6160105   2.99050052  4.79842903],7.208789346968557,4.616010499134292,4.79842903280635,40.463832579716666,8.432725023767098,2.990500524832824,0.9591007404621706,35.66540354691031,11,11_12_F:\Fmr1 SD Tanks\WT\BA190305G\Block-2
62,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,WT,13,[19.37982523  5.07899329  3.26123274  2.63660738],3.559961363919228,5.078993288083186,2.6366073754997044,22.016432608554574,8.35028863726132,3.2612327366400526,0.8650654059039281,19.37982523305487,11,11_13_F:\Fmr1 SD Tanks\WT\BA190305G\Block-2
63,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,WT,14,[27.3004932   3.23838307  3.452069    7.68128683],3.5848250817593903,3.2383830690536035,7.681286829920912,34.98178002854287,4.5541561984482035,3.452068998436856,0.9640491405605598,27.30049319862196,11,11_14_F:\Fmr1 SD Tanks\WT\BA190305G\Block-2
64,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,WT,15,[34.95325361  4.06740269  3.16588168  7.28894505],6.486724984711144,4.067402689081941,7.288945047637792,42.242198661033186,5.795378945094815,3.1658816807023045,0.9669918924601392,34.95325361339539,11,11_15_F:\Fmr1 SD Tanks\WT\BA190305G\Block-2
65,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,WT,16,[25.98562523  3.9294718   4.19360873 11.91347438],3.077397165185402,3.9294717965164123,11.913474377045915,37.89909960720739,3.18119621596105,4.193608731756657,0.9109060892443916,25.985625230161475,11,11_16_F:\Fmr1 SD Tanks\WT\BA190305G\Block-2
69,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,WT,5,[41.89335818  9.37855976  4.25662164 19.2428304 ],2.7916506052605423,9.378559757700037,19.242830402223593,61.1361885802628,3.1770891964624,4.256621639763596,0.6191452533146883,41.89335817803921,11,11_5_F:\Fmr1 SD Tanks\WT\BA190305H\Block-2
218,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,WT,1,[16.94677741 16.32574185 11.7730958  12.8086779 ],0.8306049545936388,16.325741847303796,12.80867790350482,29.75545531060095,2.323069994793062,11.773095795621515,0.5815185112236152,16.94677740709613,14,14_1_F:\Fmr1 SD Tanks\WT\BA190313E\Block-3
227,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,WT,11,[30.13055358  8.31226175  5.42995966 31.50056712],3.189030020323002,8.312261748229936,31.500567122112273,61.63112069864257,1.956508289508849,5.429959656826117,0.7019664992807839,30.130553576530296,14,14_11_F:\Fmr1 SD Tanks\WT\BA190313I\Block-3
231,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,WT,1,[41.88847231 17.98717691 28.42644711  8.76569972],0.702856623036041,17.987176913688785,8.765699724851185,50.654172033289115,5.778679811456702,28.426447105553247,0.6024317308308463,41.888472308437926,14,14_1_F:\Fmr1 SD Tanks\WT\BA190313J\Block-3
236,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,WT,6,[51.58968014 18.65652562 21.83920627 10.09549466],1.343936130382417,18.65652561681881,10.095494655053383,61.68517479856315,6.110168635242269,21.839206265148817,0.717216920869522,51.58968014350977,14,14_6_F:\Fmr1 SD Tanks\WT\BA190313J\Block-3
237,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,WT,11,[37.3345649  14.23473135 22.50692834 20.20057197],0.7738616954355847,14.234731352112592,20.200571973599494,57.53513687298998,2.848193454531076,22.506928342024647,0.7971146633817753,37.334564899390486,14,14_11_F:\Fmr1 SD Tanks\WT\BA190313J\Block-3
240,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,WT,14,[40.41480877  9.16017203 41.37065969  1.6772273 ],0.1631021440573477,9.16017203364605,1.6772273026244326,42.09203607234554,25.096202528114258,41.370659688646136,0.5623620905297347,40.41480876972111,14,14_14_F:\Fmr1 SD Tanks\WT\BA190313J\Block-3
242,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,WT,16,[45.19738412 19.9137075  22.82069511  4.32152722],1.1386406526980863,19.913707497821413,4.321527222832301,49.51891134055481,11.458660049374961,22.82069510727184,0.5473649098889561,45.19738411772251,14,14_16_F:\Fmr1 SD Tanks\WT\BA190313J\Block-3
243,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,WT,1,[36.19706614  7.78908315  4.08612682 16.85828068],4.1822674875291455,7.789083148874654,16.8582806804603,53.05534681757486,3.147138656854195,4.086126821607991,0.9070650062769421,36.19706613711456,15,15_1_F:\Fmr1 SD Tanks\WT\BA190326A\Block-3
244,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,WT,2,[38.33349519  5.93952377  2.08462287 11.98478995],2.958280115539224,5.939523769851692,11.984789952595158,50.318285143651885,4.198512059258584,2.084622871024077,0.8628286337153583,38.33349519105673,15,15_2_F:\Fmr1 SD Tanks\WT\BA190326A\Block-3
245,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,WT,3,[50.57012952  9.11974582  4.92457238  9.11740494],4.866686984961177,9.119745818395947,9.117404940208958,59.68753445616389,6.546548590041668,4.924572375800828,0.9726616168471018,50.57012951595493,15,15_3_F:\Fmr1 SD Tanks\WT\BA190326A\Block-3
246,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,WT,5,[30.02788368  5.02789725  3.69489781  6.10473352],4.9243230451523345,5.027897252220733,6.104733518152504,36.13261720047103,5.918786969657271,3.694897812852837,0.9662912197154231,30.027883682318528,15,15_5_F:\Fmr1 SD Tanks\WT\BA190326A\Block-3
247,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,WT,11,[29.02125486  7.45794602  3.86258141 11.46121995],3.53726248363273,7.457946024923702,11.461219954937114,40.48247481481924,3.5321261588196577,3.8625814091186865,0.9026626096592133,29.021254859882127,15,15_11_F:\Fmr1 SD Tanks\WT\BA190326A\Block-3
248,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,WT,12,[17.71006325  2.64243583  5.72011761  5.9150166 ],0.5997718339756375,2.6424358306983766,5.915016597961978,23.625079849505276,3.994085132008811,5.720117607906932,0.865390828228447,17.710063251543296,15,15_12_F:\Fmr1 SD Tanks\WT\BA190326A\Block-3
249,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,WT,14,[35.3324013   6.85200694  3.60206883  8.1420473 ],4.846453592577404,6.852006942045261,8.142047299512361,43.474448594995344,5.339498408170521,3.6020688279522406,0.9450549316188025,35.33240129548298,15,15_14_F:\Fmr1 SD Tanks\WT\BA190326A\Block-3
250,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,WT,15,[30.12173477  4.77491835  2.83813355  5.33175153],6.258872941877768,4.774918347002527,5.331751533075861,35.45348629974005,6.649500840352759,2.838133547201472,0.9385773344155095,30.12173476666419,15,15_15_F:\Fmr1 SD Tanks\WT\BA190326A\Block-3
251,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,WT,16,[34.78525023  7.58636607  3.86095923 11.43109776],4.11221093337133,7.58636606657949,11.431097764259281,46.216347998424254,4.043036718916471,3.8609592328966595,0.9129340547882997,34.78525023416498,15,15_16_F:\Fmr1 SD Tanks\WT\BA190326A\Block-3
259,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,WT,15,[24.05761671 46.78767843  8.45332326 15.32656871],1.0115019932754876e-05,46.78767843081911,15.326568707554898,39.384185416715255,2.569667494936533,8.45332325633204,0.5837450179729864,24.057616709160357,15,15_15_F:\Fmr1 SD Tanks\WT\BA190326C\Block-3
261,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,WT,2,[13.04612393  5.76079232  2.69399648  5.30495217],1.7956746745539929,5.760792322231778,5.304952172301397,18.351076102202022,3.4592349763336223,2.693996480406337,0.8996718235380202,13.046123929900624,15,15_2_F:\Fmr1 SD Tanks\WT\BA190326E\Block-3
262,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,WT,4,[8.23328366 4.79546729 2.02349869 3.4781962 ],1.314188900503055,4.795467292199235,3.4781961956336986,11.711479853008322,3.3671130650163303,2.0234986947105025,0.8068472222506465,8.233283657374624,15,15_4_F:\Fmr1 SD Tanks\WT\BA190326E\Block-3
264,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,WT,12,[18.11611475  5.62063947  2.44323635  6.70625931],2.3452130153422956,5.620639468298392,6.706259305886613,24.822374051887103,3.7013740327783844,2.443236346199814,0.9484373816453351,18.11611474600049,15,15_12_F:\Fmr1 SD Tanks\WT\BA190326E\Block-3
265,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,WT,13,[9.93087725 5.31655458 2.33435949 4.01655367],1.4232944424374947,5.316554577012903,4.016553668926739,13.947430923897954,3.472487130397249,2.334359494604637,0.9265968378300772,9.930877254971215,15,15_13_F:\Fmr1 SD Tanks\WT\BA190326E\Block-3
266,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,WT,15,[13.36023082  6.90811225  3.04165258  4.88762709],1.2934899598970873,6.9081122546329805,4.887627087781677,18.247857911546845,3.7334799860577967,3.0416525837538675,0.8861450133790927,13.360230823765168,15,15_15_F:\Fmr1 SD Tanks\WT\BA190326E\Block-3
267,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,WT,16,[13.88816774  6.15523089  2.73589198  8.0767771 ],1.6206835456777922,6.155230893819949,8.076777101506515,21.964944837955432,2.7195185111470312,2.735891984513839,0.8849762369148698,13.888167736448917,15,15_16_F:\Fmr1 SD Tanks\WT\BA190326E\Block-3
270,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,WT,3,[27.72998345 28.57309271  9.45562013 13.92246966],0.13508235117143386,28.573092713061303,13.922469660649876,41.65245310926778,2.9917431407297834,9.455620127921993,0.9669345817271419,27.729983448617908,15,15_3_F:\Fmr1 SD Tanks\WT\BA190326G\Block-3
271,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,WT,6,[32.01078655 23.64444625 11.1107047  11.71299139],0.7490551922728627,23.644446250265926,11.71299139118765,43.72377794500884,3.7329300846156794,11.110704702208029,0.7088827497992212,32.01078655382119,15,15_6_F:\Fmr1 SD Tanks\WT\BA190326G\Block-3
272,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,WT,11,[23.62981931 27.08773188  8.3615977  11.35002162],0.07872421790011686,27.087731884021668,11.350021624876518,34.97984093735368,3.081918439757531,8.361597700567636,0.8753677444245203,23.62981931247716,15,15_11_F:\Fmr1 SD Tanks\WT\BA190326G\Block-3
273,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,WT,14,[25.85080898 29.35905281 10.52585115 16.14708371],0.21599825625884247,29.359052808205696,16.147083712588607,41.99789269440856,2.600958379974591,10.525851146414885,0.8855462756412815,25.850808981819956,15,15_14_F:\Fmr1 SD Tanks\WT\BA190326G\Block-3
312,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,WT,1,[47.04530504 18.5531417  19.18465319 14.3799328 ],1.4576673766697466,18.553141704799767,14.379932804346552,61.42523784095263,4.27159421929885,19.184653191036134,0.7541867055623086,47.04530503660608,7,7_1_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3
313,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,WT,2,[47.04530504 18.5531417  19.18465319 14.3799328 ],1.4576673766697466,18.553141704799767,14.379932804346552,61.42523784095263,4.27159421929885,19.184653191036134,0.7541867055623086,47.04530503660608,7,7_2_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3
315,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,WT,4,[43.72517947 16.99032009 16.13642991 12.8783074 ],1.6356238141668198,16.99032009415719,12.878307396474625,56.603486867039486,4.3952582528457445,16.136429911029015,0.599538602215702,43.72517947056486,7,7_4_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3
316,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,WT,5,[44.10474586 18.36709883 18.35663883 13.4408787 ],1.439148432780257,18.36709883046108,13.440878702692313,57.545624560333195,4.281388578323109,18.356638827066703,0.616422367960755,44.10474585764088,7,7_5_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3
318,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,WT,7,[31.62594772 17.49378483 15.28476967 11.5148121 ],1.2546530239632148,17.493784828782005,11.514812099717341,43.140759815055645,3.7465448364645604,15.284769673662211,0.5052643472505227,31.625947715338306,7,7_7_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3
321,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,WT,10,[28.0628196  15.79652439 13.02684385 10.89040284],1.3000192362611074,15.79652438962512,10.890402836246823,38.95322243375841,3.576839444736548,13.026843854414924,0.5066638854017027,28.06281959751159,7,7_10_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3
